model,strategy,fam,epoch,train_loss,valid_loss,valid_f1,test_f1
sincFold,sortS400,RNaseP,24.0,0.0015,0.0313,0.8216,
sincFold,sortS400,RNaseP,25.0,0.0007,0.0295,0.816,0.343
sincFold,sortS400,5s,0.0,0.0465,0.0364,0.4525,
sincFold,sortS400,5s,1.0,0.0465,0.0364,0.4525,
sincFold,sortS400,5s,2.0,0.0279,0.0371,0.5228,
sincFold,sortS400,5s,3.0,0.0244,0.0462,0.4949,
sincFold,sortS400,5s,4.0,0.0212,0.0275,0.5877,
sincFold,sortS400,5s,5.0,0.0187,0.0245,0.6083,0.457
sincFold,sortS400,5s,6.0,0.0256,0.029,0.5809,
sincFold,sortS400,5s,7.0,0.0206,0.0395,0.5733,
sincFold,sortS400,5s,8.0,0.0178,0.0364,0.6125,
sincFold,sortS400,5s,9.0,0.0148,0.021,0.6717,
sincFold,sortS400,5s,10.0,0.0115,0.0177,0.7118,0.51
sincFold,sortS400,5s,11.0,0.0085,0.0171,0.7382,
sincFold,sortS400,5s,12.0,0.0062,0.0283,0.7513,
sincFold,sortS400,5s,13.0,0.004,0.0263,0.7708,
sincFold,sortS400,5s,14.0,0.0034,0.017,0.7786,
sincFold,sortS400,5s,15.0,0.0021,0.0183,0.7797,0.382
sincFold,sortS400,5s,16.0,0.0031,0.0231,0.7762,
sincFold,sortS400,5s,17.0,0.0023,0.0252,0.7873,
sincFold,sortS400,5s,18.0,0.0018,0.0352,0.7735,
sincFold,sortS400,5s,19.0,0.002,0.0215,0.7878,
sincFold,sortS400,5s,20.0,0.0012,0.0188,0.7784,0.459
sincFold,sortS400,5s,21.0,0.0024,0.0313,0.7748,
sincFold,sortS400,5s,22.0,0.0016,0.0319,0.7871,
sincFold,sortS400,5s,23.0,0.0012,0.0558,0.7431,
sincFold,sortS400,5s,24.0,0.0017,0.028,0.7931,
sincFold,sortS400,5s,25.0,0.0014,0.0368,0.7795,0.349
sincFold,sortS400,srp,0.0,0.0448,0.0406,0.5259,
sincFold,sortS400,srp,1.0,0.0448,0.0406,0.5259,
sincFold,sortS400,srp,2.0,0.0244,0.0252,0.6434,
sincFold,sortS400,srp,3.0,0.0199,0.0294,0.6453,
sincFold,sortS400,srp,4.0,0.0174,0.0207,0.7154,
sincFold,sortS400,srp,5.0,0.0145,0.0233,0.7138,0.199
sincFold,sortS400,srp,6.0,0.0136,0.0161,0.7579,
sincFold,sortS400,srp,7.0,0.0109,0.0222,0.7441,
sincFold,sortS400,srp,8.0,0.0084,0.0199,0.7955,
sincFold,sortS400,srp,9.0,0.0062,0.0143,0.7625,
sincFold,sortS400,srp,10.0,0.0048,0.0185,0.7916,0.207
sincFold,sortS400,srp,11.0,0.0065,0.0193,0.8102,
sincFold,sortS400,srp,12.0,0.0046,0.013,0.7896,
sincFold,sortS400,srp,13.0,0.0029,0.0188,0.8306,
sincFold,sortS400,srp,14.0,0.0028,0.016,0.8301,
sincFold,sortS400,srp,15.0,0.0019,0.0136,0.8298,0.205
sincFold,sortS400,srp,16.0,0.0026,0.0138,0.8314,
sincFold,sortS400,srp,17.0,0.002,0.0137,0.7764,
sincFold,sortS400,srp,18.0,0.0015,0.0147,0.8294,
sincFold,sortS400,srp,19.0,0.002,0.0219,0.8329,
sincFold,sortS400,srp,20.0,0.0013,0.0165,0.8479,0.202
sincFold,sortS400,srp,21.0,0.001,0.0177,0.8425,
sincFold,sortS400,srp,22.0,0.0008,0.0225,0.8502,
sincFold,sortS400,srp,23.0,0.0011,0.0201,0.8453,
sincFold,sortS400,srp,24.0,0.0008,0.0299,0.8384,
sincFold,sortS400,srp,25.0,0.0008,0.0206,0.8549,0.197
sincFold,sortS400,grp1,0.0,0.0476,0.0401,0.5226,
sincFold,sortS400,grp1,1.0,0.0476,0.0401,0.5226,
sincFold,sortS400,grp1,2.0,0.0286,0.03,0.6092,
sincFold,sortS400,grp1,3.0,0.0243,0.0341,0.6334,
sincFold,sortS400,grp1,4.0,0.0204,0.0298,0.6833,
sincFold,sortS400,grp1,5.0,0.0178,0.0205,0.7339,0.421
sincFold,sortS400,grp1,6.0,0.0153,0.019,0.7657,
sincFold,sortS400,grp1,7.0,0.012,0.0177,0.7836,
sincFold,sortS400,grp1,8.0,0.0088,0.0161,0.8032,
sincFold,sortS400,grp1,9.0,0.0064,0.0186,0.8178,
sincFold,sortS400,grp1,10.0,0.0046,0.0187,0.8068,0.356
sincFold,sortS400,grp1,11.0,0.0048,0.0182,0.8153,
sincFold,sortS400,grp1,12.0,0.0028,0.0165,0.8003,
sincFold,sortS400,grp1,13.0,0.0026,0.0263,0.813,
sincFold,sortS400,grp1,14.0,0.002,0.0366,0.8096,
sincFold,sortS400,grp1,15.0,0.0026,0.0217,0.8316,0.289
sincFold,sortS400,grp1,16.0,0.0019,0.0191,0.8279,
sincFold,sortS400,grp1,17.0,0.0016,0.0215,0.839,
sincFold,sortS400,grp1,18.0,0.0015,0.0222,0.8333,
sincFold,sortS400,grp1,19.0,0.0012,0.0284,0.8388,
sincFold,sortS400,grp1,20.0,0.002,0.0241,0.8293,0.32
sincFold,sortS400,grp1,21.0,0.0014,0.0254,0.8404,
sincFold,sortS400,grp1,22.0,0.0008,0.0251,0.8379,
sincFold,sortS400,grp1,23.0,0.0011,0.0297,0.8375,
sincFold,sortS400,grp1,24.0,0.001,0.0396,0.8364,
sincFold,sortS400,grp1,25.0,0.0015,0.0343,0.8351,0.252
sincFold,sortS400,telomerase,0.0,0.0482,0.0409,0.5066,
sincFold,sortS400,telomerase,1.0,0.0482,0.0409,0.5066,
sincFold,sortS400,telomerase,2.0,0.0287,0.0326,0.5778,
sincFold,sortS400,telomerase,3.0,0.0243,0.0248,0.6671,
sincFold,sortS400,telomerase,4.0,0.0206,0.025,0.6577,
sincFold,sortS400,telomerase,5.0,0.0176,0.0206,0.733,0.198
sincFold,sortS400,telomerase,6.0,0.016,0.0238,0.7421,
sincFold,sortS400,telomerase,7.0,0.012,0.0243,0.7688,
sincFold,sortS400,telomerase,8.0,0.0096,0.0169,0.7824,
sincFold,sortS400,telomerase,9.0,0.0063,0.0173,0.7805,
sincFold,sortS400,telomerase,10.0,0.0045,0.0177,0.8025,0.171
sincFold,sortS400,telomerase,11.0,0.0038,0.0192,0.7904,
sincFold,sortS400,telomerase,12.0,0.0031,0.0308,0.8147,
sincFold,sortS400,telomerase,13.0,0.0019,0.02,0.8073,
sincFold,sortS400,telomerase,14.0,0.0015,0.0265,0.8243,
sincFold,sortS400,telomerase,15.0,0.0013,0.0235,0.8205,0.106
sincFold,sortS400,telomerase,16.0,0.0023,0.0294,0.8136,
sincFold,sortS400,telomerase,17.0,0.0021,0.0238,0.8066,
sincFold,sortS400,telomerase,18.0,0.002,0.023,0.8261,
sincFold,sortS400,telomerase,19.0,0.0013,0.0239,0.8363,
sincFold,sortS400,telomerase,20.0,0.0011,0.0356,0.826,0.095
sincFold,sortS400,telomerase,21.0,0.0013,0.0386,0.8178,
sincFold,sortS400,telomerase,22.0,0.0014,0.0261,0.8317,
sincFold,sortS400,telomerase,23.0,0.0011,0.0337,0.8202,
sincFold,sortS400,telomerase,24.0,0.0007,0.0343,0.8388,
sincFold,sortS400,telomerase,25.0,0.0006,0.035,0.8295,0.11
sincFold,sortS400,23s,0.0,0.046,0.0482,0.4809,
sincFold,sortS400,23s,1.0,0.046,0.0482,0.4809,
sincFold,sortS400,23s,2.0,0.0275,0.0271,0.613,
sincFold,sortS400,23s,3.0,0.0229,0.0246,0.6564,
sincFold,sortS400,23s,4.0,0.0198,0.0297,0.6389,
sincFold,sortS400,23s,5.0,0.0163,0.0194,0.7367,0.432
sincFold,sortS400,23s,6.0,0.0144,0.0412,0.6469,
sincFold,sortS400,23s,7.0,0.0115,0.0172,0.7615,
sincFold,sortS400,23s,8.0,0.0081,0.0174,0.7882,
sincFold,sortS400,23s,9.0,0.0063,0.0189,0.7218,
sincFold,sortS400,23s,10.0,0.004,0.0273,0.7816,0.273
sincFold,sortS400,23s,11.0,0.0036,0.0244,0.811,
sincFold,sortS400,23s,12.0,0.0027,0.0186,0.8125,
sincFold,sortS400,23s,13.0,0.0021,0.0229,0.8197,
sincFold,sortS400,23s,14.0,0.0016,0.0208,0.8079,
sincFold,sortS400,23s,15.0,0.002,0.0277,0.8227,0.321
sincFold,sortS400,23s,16.0,0.0018,0.0318,0.7789,
sincFold,sortS400,23s,17.0,0.0014,0.0253,0.8243,
sincFold,sortS400,23s,18.0,0.0009,0.0249,0.8272,
sincFold,sortS400,23s,19.0,0.0008,0.0224,0.7825,
sincFold,sortS400,23s,20.0,0.0012,0.0203,0.7963,0.31
sincFold,sortS400,23s,21.0,0.0012,0.0262,0.8289,
sincFold,sortS400,23s,22.0,0.0009,0.0228,0.8307,
sincFold,sortS400,23s,23.0,0.0011,0.0258,0.8211,
sincFold,sortS400,23s,24.0,0.001,0.0327,0.8304,
sincFold,sortS400,23s,25.0,0.0007,0.0286,0.8381,0.348
sincFold,sortS400,16s,0.0,0.0483,0.0403,0.4961,
sincFold,sortS400,16s,1.0,0.0483,0.0403,0.4961,
sincFold,sortS400,16s,2.0,0.028,0.0292,0.5755,
sincFold,sortS400,16s,3.0,0.0235,0.0264,0.6613,
sincFold,sortS400,16s,4.0,0.0205,0.0237,0.6536,
sincFold,sortS400,16s,5.0,0.0171,0.0204,0.7263,0.384
sincFold,sortS400,16s,6.0,0.0153,0.0177,0.7513,
sincFold,sortS400,16s,7.0,0.0124,0.0174,0.7675,
sincFold,sortS400,16s,8.0,0.0092,0.016,0.7724,
sincFold,sortS400,16s,9.0,0.0069,0.0199,0.8038,
sincFold,sortS400,16s,10.0,0.0046,0.019,0.8062,0.364
sincFold,sortS400,16s,11.0,0.0038,0.0176,0.8061,
sincFold,sortS400,16s,12.0,0.0023,0.0236,0.8134,
sincFold,sortS400,16s,13.0,0.002,0.0255,0.8302,
sincFold,sortS400,16s,14.0,0.0023,0.0245,0.8334,
sincFold,sortS400,16s,15.0,0.0015,0.0174,0.8131,0.321
sincFold,sortS400,16s,16.0,0.0022,0.0215,0.8324,
sincFold,sortS400,16s,17.0,0.0013,0.0409,0.8029,
sincFold,sortS400,16s,18.0,0.0012,0.0213,0.828,
sincFold,sortS400,16s,19.0,0.0017,0.0339,0.8234,
sincFold,sortS400,16s,20.0,0.0014,0.0345,0.8196,0.301
sincFold,sortS400,16s,21.0,0.0012,0.0249,0.8354,
sincFold,sortS400,16s,22.0,0.0012,0.0286,0.8389,
sincFold,sortS400,16s,23.0,0.0008,0.0219,0.8256,
sincFold,sortS400,16s,24.0,0.001,0.0353,0.8301,
sincFold,sortS400,16s,25.0,0.001,0.0283,0.8287,0.3
sincFold,sortS200,tRNA,0.0,0.0592,0.045,0.3418,
sincFold,sortS200,tRNA,1.0,0.0592,0.045,0.3418,
sincFold,sortS200,tRNA,2.0,0.0326,0.0388,0.4001,
sincFold,sortS200,tRNA,3.0,0.0297,0.0359,0.438,
sincFold,sortS200,tRNA,4.0,0.0275,0.0311,0.4942,
sincFold,sortS200,tRNA,5.0,0.0252,0.0295,0.5161,0.662
sincFold,sortS200,tRNA,6.0,0.0263,0.0294,0.5339,
sincFold,sortS200,tRNA,7.0,0.0215,0.0397,0.4803,
sincFold,sortS200,tRNA,8.0,0.0192,0.0446,0.4765,
sincFold,sortS200,tRNA,9.0,0.0173,0.0249,0.6087,
sincFold,sortS200,tRNA,10.0,0.0138,0.0247,0.6076,0.689
sincFold,sortS200,tRNA,11.0,0.0144,0.0242,0.5878,
sincFold,sortS200,tRNA,12.0,0.0107,0.0248,0.6408,
sincFold,sortS200,tRNA,13.0,0.0076,0.0463,0.5722,
sincFold,sortS200,tRNA,14.0,0.0056,0.037,0.6426,
sincFold,sortS200,tRNA,15.0,0.0047,0.0272,0.6516,0.584
