,sincFold,eFold,REDFold,UFold,"RiNALMo
 ResNet"
"randS   
 100",1.0891374954889932,0.6805889257169846,1.0125906128535669,0.9727630911214852,0.9459211591269928
200,1.1046553590761456,1.1840145341757833,0.9893387697076924,0.98608597664774,0.98853749411103
400,1.1328040418621437,1.1145825377367404,1.015252555635901,1.0174775890707612,1.0000952004686856
"sortS   
 100",1.163118007939372,0.9715653614461156,0.9663943197636258,0.9615648873343514,0.944277528971162
200,1.204619271021292,1.1238181114322048,0.996974109863199,1.0052555627509077,0.99098810429551
400,1.1068206423673763,1.162239676993725,1.0041724029308638,0.9837838392818696,0.99899301534971
"clusS   
 100",1.1595092024539877,0.9844029217147442,0.9685120060757751,0.913794245440984,0.932479404065324
200,1.2219415373511369,1.2555749999806514,1.0330325751812208,0.969077533092492,0.9672887108085922
400,1.1573439191627573,1.1349123294065393,1.047254290477338,0.9958669740929808,0.9968547662950112
