model,strategy,K,fam,test_f1
eFold,sortS,100,23s,0.2458261251449585
eFold,sortS,100,5s,0.3529406487941742
eFold,sortS,100,RNaseP,0.2551215589046478
eFold,sortS,100,grp1,0.3123373389244079
eFold,sortS,100,srp,0.1309627145528793
eFold,sortS,100,tRNA,0.5108159780502319
eFold,sortS,100,telomerase,0.0688950717449188
eFold,sortS,100,tmRNA,0.1077373474836349
eFold,sortS,200,16s,0.291986733675003
eFold,sortS,200,23s,0.2816883325576782
eFold,sortS,200,5s,0.412140816450119
eFold,sortS,200,RNaseP,0.2966034412384033
eFold,sortS,200,grp1,0.2454849034547805
eFold,sortS,200,srp,0.1430003494024276
eFold,sortS,200,tRNA,0.49887615442276
eFold,sortS,200,telomerase,0.1088407933712005
eFold,sortS,200,tmRNA,0.2637643814086914
eFold,sortS,400,16s,0.2003076672554016
eFold,sortS,400,23s,0.3330852389335632
eFold,sortS,400,5s,0.3612529933452606
eFold,sortS,400,RNaseP,0.3681248128414154
eFold,sortS,400,grp1,0.2758058607578277
eFold,sortS,400,srp,0.1468625664710998
eFold,sortS,400,tRNA,0.5644369125366211
eFold,sortS,400,telomerase,0.0834390670061111
eFold,sortS,400,tmRNA,0.2959909439086914
REDFold,clusS,100,16s,0.3695671740732687
REDFold,clusS,100,23s,0.4025009448119417
REDFold,clusS,100,5s,0.385905079534632
REDFold,clusS,100,RNaseP,0.3789172396428847
REDFold,clusS,100,grp1,0.347457900887491
REDFold,clusS,100,srp,0.2099261312778164
REDFold,clusS,100,tRNA,0.4958410130688168
REDFold,clusS,100,telomerase,0.127767700830272
REDFold,clusS,100,tmRNA,0.3225664046209705
REDFold,clusS,200,16s,0.3374316861819319
REDFold,clusS,200,23s,0.4386100007511876
REDFold,clusS,200,5s,0.4592043661488473
REDFold,clusS,200,RNaseP,0.3755963579351007
REDFold,clusS,200,grp1,0.3983932708350837
REDFold,clusS,200,srp,0.215734030944137
REDFold,clusS,200,tRNA,0.5331372218559346
REDFold,clusS,200,telomerase,0.1289082696841609
REDFold,clusS,200,tmRNA,0.3559837968834203
REDFold,clusS,400,16s,0.4021702470661314
REDFold,clusS,400,23s,0.3826916864680914
REDFold,clusS,400,5s,0.4757331752218273
REDFold,clusS,400,RNaseP,0.416464646176229
REDFold,clusS,400,grp1,0.3816678569881235
REDFold,clusS,400,srp,0.2290161824757693
REDFold,clusS,400,tRNA,0.548338396422595
REDFold,clusS,400,telomerase,0.1186496272816967
REDFold,clusS,400,tmRNA,0.332913411717552
REDFold,randS,100,16s,0.3493895712659702
REDFold,randS,100,23s,0.3952752116622345
REDFold,randS,100,5s,0.4602950978131167
REDFold,randS,100,RNaseP,0.3729585180065682
REDFold,randS,100,grp1,0.3902351857019605
REDFold,randS,100,srp,0.2496326936170903
REDFold,randS,100,tRNA,0.5246064713362423
REDFold,randS,100,telomerase,0.139334373235644
REDFold,randS,100,tmRNA,0.2970984294524008
REDFold,randS,200,16s,0.3540801625578848
REDFold,randS,200,23s,0.3522598395909707
REDFold,randS,200,5s,0.4783610554633801
REDFold,randS,200,RNaseP,0.3876609696806227
REDFold,randS,200,grp1,0.353687199499563
REDFold,randS,200,srp,0.2121144390473642
REDFold,randS,200,tRNA,0.5887584167751805
REDFold,randS,200,telomerase,0.1476097491337628
REDFold,randS,200,tmRNA,0.2312992128020534
REDFold,randS,400,16s,0.3131319361046226
REDFold,randS,400,23s,0.4041349693133321
REDFold,randS,400,5s,0.5204470643805742
REDFold,randS,400,RNaseP,0.3733563826164799
REDFold,randS,400,grp1,0.3907176420934753
REDFold,randS,400,srp,0.2508688227598306
REDFold,randS,400,tRNA,0.4873631144993943
REDFold,randS,400,telomerase,0.1420324716219871
REDFold,randS,400,tmRNA,0.3051297852605481
REDFold,sortS,100,16s,0.373098861706208
REDFold,sortS,100,23s,0.3561154267868928
REDFold,sortS,100,5s,0.4341079476694651
REDFold,sortS,100,RNaseP,0.3690447307151923
REDFold,sortS,100,grp1,0.3294279325696388
REDFold,sortS,100,srp,0.2168363905724522
REDFold,sortS,100,tRNA,0.5071347026379929
REDFold,sortS,100,telomerase,0.1323103199190726
REDFold,sortS,100,tmRNA,0.3157252238636394
REDFold,sortS,200,16s,0.3634698283295148
REDFold,sortS,200,23s,0.398235553175908
REDFold,sortS,200,5s,0.4303135130027863
REDFold,sortS,200,RNaseP,0.4133345682879145
REDFold,sortS,200,grp1,0.3807302962756366
REDFold,sortS,200,srp,0.2245283850227846
REDFold,sortS,200,tRNA,0.4598009761021723
REDFold,sortS,200,telomerase,0.1305534041541085
REDFold,sortS,200,tmRNA,0.328834142352422
REDFold,sortS,400,16s,0.3877281470276819
REDFold,sortS,400,23s,0.3391926714282773
REDFold,sortS,400,5s,0.4481780869034325
REDFold,sortS,400,RNaseP,0.3985512938869157
REDFold,sortS,400,grp1,0.4044723321934961
REDFold,sortS,400,srp,0.2170505637165616
REDFold,sortS,400,tRNA,0.5006454088985725
REDFold,sortS,400,telomerase,0.1165995620572959
REDFold,sortS,400,tmRNA,0.3399802008891742
UFold,clusS,100,16s,0.3929239018950984
UFold,clusS,100,23s,0.4152467206665707
UFold,clusS,100,5s,0.4623233001302959
UFold,clusS,100,RNaseP,0.3526890567237854
UFold,clusS,100,grp1,0.3211588752906898
UFold,clusS,100,srp,0.2475518571977584
UFold,clusS,100,tRNA,0.5087963235110174
UFold,clusS,100,telomerase,0.2179197909068634
UFold,clusS,100,tmRNA,0.3583414131542029
UFold,clusS,200,16s,0.4264335280726737
UFold,clusS,200,23s,0.4468716100626702
UFold,clusS,200,5s,0.4860334160824502
UFold,clusS,200,RNaseP,0.3920674564825185
UFold,clusS,200,grp1,0.4113209411911532
UFold,clusS,200,srp,0.2702946687221914
UFold,clusS,200,tRNA,0.4403822170877869
UFold,clusS,200,telomerase,0.3001793989588686
UFold,clusS,200,tmRNA,0.3016190192737361
UFold,clusS,400,16s,0.4615771488391756
UFold,clusS,400,23s,0.4216679316582237
UFold,clusS,400,5s,0.4686523331686423
UFold,clusS,400,RNaseP,0.391967060282295
UFold,clusS,400,grp1,0.4578397602237855
UFold,clusS,400,srp,0.3042406403168681
UFold,clusS,400,tRNA,0.4576639257587399
UFold,clusS,400,telomerase,0.2039616897510524
UFold,clusS,400,tmRNA,0.4037011954916585
UFold,randS,100,16s,0.4161997586745751
UFold,randS,100,23s,0.4369260742606328
UFold,randS,100,5s,0.5413018750580418
UFold,randS,100,RNaseP,0.4830824051125145
UFold,randS,100,grp1,0.2366342248538455
UFold,randS,100,srp,0.3079863668113994
UFold,randS,100,tRNA,0.4959415719347946
UFold,randS,100,telomerase,0.2031581411749903
UFold,randS,100,tmRNA,0.367188592275035
UFold,randS,200,16s,0.4484059042861985
UFold,randS,200,23s,0.4804343880718767
UFold,randS,200,5s,0.421964743391267
UFold,randS,200,RNaseP,0.410495523983598
UFold,randS,200,grp1,0.430137401173074
UFold,randS,200,srp,0.2349738024922084
UFold,randS,200,tRNA,0.4983118351813918
UFold,randS,200,telomerase,0.2361076109139732
UFold,randS,200,tmRNA,0.3753649085357901
UFold,randS,400,16s,0.3842343572186439
UFold,randS,400,23s,0.5007141735471798
UFold,randS,400,5s,0.5396014539257592
UFold,randS,400,RNaseP,0.4009521122605227
UFold,randS,400,grp1,0.4628656461694577
UFold,randS,400,srp,0.2511681132069423
UFold,randS,400,tRNA,0.4944909600696453
UFold,randS,400,telomerase,0.2437246783562755
UFold,randS,400,tmRNA,0.371017868020146
UFold,sortS,100,16s,0.3954508411743248
UFold,sortS,100,23s,0.3873726697853755
UFold,sortS,100,5s,0.4960440049403238
UFold,sortS,100,RNaseP,0.4277526666552505
UFold,sortS,100,grp1,0.414010823680857
UFold,sortS,100,srp,0.3078974110303962
UFold,sortS,100,tRNA,0.5048024386978396
UFold,sortS,100,telomerase,0.2239322087283271
UFold,sortS,100,tmRNA,0.2909981441164579
UFold,sortS,200,16s,0.3991684414605871
UFold,sortS,200,23s,0.500157373687074
UFold,sortS,200,5s,0.4805295360940764
UFold,sortS,200,RNaseP,0.4230832180538784
UFold,sortS,200,grp1,0.4367941448407074
UFold,sortS,200,srp,0.2343051113558469
UFold,sortS,200,tRNA,0.4935345114024058
UFold,sortS,200,telomerase,0.2544423831655709
UFold,sortS,200,tmRNA,0.3829253184463266
UFold,sortS,400,16s,0.4233636031862179
UFold,sortS,400,23s,0.3765904221948741
UFold,sortS,400,5s,0.4771811771241874
UFold,sortS,400,RNaseP,0.4861349387166825
UFold,sortS,400,grp1,0.4373525991062784
UFold,sortS,400,srp,0.2609793558269936
UFold,sortS,400,tRNA,0.4769487187713835
UFold,sortS,400,telomerase,0.2249856912317215
UFold,sortS,400,tmRNA,0.3644039329453166
RiNALMo-ResNet,clusS,100,16s,0.4229759473468262
RiNALMo-ResNet,clusS,100,23s,0.5290435400034608
RiNALMo-ResNet,clusS,100,5s,0.7297782232661544
RiNALMo-ResNet,clusS,100,RNaseP,0.5613739433990693
RiNALMo-ResNet,clusS,100,grp1,0.533253182852123
RiNALMo-ResNet,clusS,100,srp,0.5687213929226793
RiNALMo-ResNet,clusS,100,tRNA,0.839011455238355
RiNALMo-ResNet,clusS,100,telomerase,0.0961088293243423
RiNALMo-ResNet,clusS,100,tmRNA,0.5869215850657818
RiNALMo-ResNet,clusS,200,16s,0.4780852307282245
RiNALMo-ResNet,clusS,200,23s,0.5291647207061972
RiNALMo-ResNet,clusS,200,5s,0.7674938504818491
RiNALMo-ResNet,clusS,200,RNaseP,0.6277002482260228
RiNALMo-ResNet,clusS,200,grp1,0.5090497234432558
RiNALMo-ResNet,clusS,200,srp,0.5651472782278399
RiNALMo-ResNet,clusS,200,tRNA,0.8651625189081587
RiNALMo-ResNet,clusS,200,telomerase,0.0995114797984735
RiNALMo-ResNet,clusS,200,tmRNA,0.6075644007840982
RiNALMo-ResNet,clusS,400,16s,0.4595272892229719
RiNALMo-ResNet,clusS,400,23s,0.5884746220142609
RiNALMo-ResNet,clusS,400,5s,0.754199392773603
RiNALMo-ResNet,clusS,400,RNaseP,0.6450280714590964
RiNALMo-ResNet,clusS,400,grp1,0.5526780321001565
RiNALMo-ResNet,clusS,400,srp,0.6092096055083507
